project_title,project_description,project_skills,project_budget,project_id,project_DOR,project_deadline
Create a Machine Learning Tool,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $215327.,['Machine Learning'],170000,PLCS0652,2021-12-06,2021-06-06
Code a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $71337.,"['Android Mobile App Programming', 'UI/UX Design']",352500,PLCS0653,2022-03-04,2021-05-11
Create a Data Analysis Platform,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $320665.,"['Data Analysis', 'C++ Programming']",220000,PLCS0654,2021-07-30,2021-05-05
Code a Java Programming App,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $72359.,['Java Programming'],292000,PLCS0655,2021-12-17,2021-04-24
Design a Java Programming Tool,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $342249.,"['Java Programming', 'Data Analysis']",206500,PLCS0656,2021-11-21,2021-03-01
Create a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $108877.,"['Android Mobile App Programming', 'C++ Programming']",358500,PLCS0657,2022-06-02,2021-06-29
Create a UI/UX Design Project,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $319860.,['UI/UX Design'],57500,PLCS0658,2021-02-12,2021-05-11
Design a Machine Learning Tool,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $230036.,"['Machine Learning', 'Web Development']",304500,PLCS0659,2022-03-07,2021-05-16
Design a Java Programming Project,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $216178.,"['Java Programming', 'Machine Learning']",356000,PLCS0660,2022-03-22,2021-05-27
Design a Web Development System,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 5 months of work and a budget of $119837.,['Web Development'],361000,PLCS0661,2022-05-25,2021-05-08
Create a Web Development Tool,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 3 months of work and a budget of $279539.,"['Web Development', 'Android Mobile App Programming']",77500,PLCS0662,2021-05-25,2021-06-23
Design a Data Analysis Platform,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $330363.,['Data Analysis'],167500,PLCS0663,2022-05-05,2021-05-07
Code a Data Analysis Tool,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $343573.,"['Data Analysis', 'C++ Programming']",286000,PLCS0664,2022-08-05,2021-03-03
Develop a Web Development Project,This project involves Web Development and requires a team of 5 developers proficient in Web Development. The project will involve 3 months of work and a budget of $368963.,"['Web Development', 'UI/UX Design']",38500,PLCS0665,2021-10-01,2021-03-12
Code a Java Programming Project,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $380794.,['Java Programming'],171000,PLCS0666,2022-12-07,2021-04-29
Code a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $106514.,['Android Mobile App Programming'],134500,PLCS0667,2021-07-13,2021-03-20
Build a Data Analysis Platform,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $170608.,"['Data Analysis', 'UI/UX Design']",321000,PLCS0668,2021-01-10,2021-03-24
Code a C++ Programming System,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $132653.,['C++ Programming'],104500,PLCS0669,2022-08-29,2021-03-09
Build a Data Analysis App,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $333721.,['Data Analysis'],124000,PLCS0670,2021-10-14,2021-06-21
Build a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $168080.,"['UI/UX Design', 'Java Programming']",296500,PLCS0671,2021-04-25,2021-05-26
Code a Data Analysis Platform,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $129574.,['Data Analysis'],132500,PLCS0672,2021-07-02,2021-04-11
Design a UI/UX Design Platform,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $336198.,['UI/UX Design'],166500,PLCS0673,2021-03-13,2021-04-28
Develop a Data Analysis App,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $73877.,['Data Analysis'],82500,PLCS0674,2021-05-06,2021-04-25
Code a Java Programming Project,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $149818.,"['Java Programming', 'Machine Learning']",362500,PLCS0675,2022-07-28,2021-03-29
Code a Web Development Project,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 4 months of work and a budget of $329174.,"['Web Development', 'UI/UX Design']",352500,PLCS0676,2022-02-15,2021-06-11
Build a UI/UX Design Project,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $327903.,"['UI/UX Design', 'Android Mobile App Programming']",327000,PLCS0677,2021-07-17,2021-06-21
Develop a Data Analysis App,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $176481.,"['Data Analysis', 'Machine Learning']",273000,PLCS0678,2021-11-01,2021-06-20
Build a Machine Learning System,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $109498.,['Machine Learning'],120500,PLCS0679,2022-08-03,2021-03-31
